ABACO;INSTRUMENTO DE CÁLCULO
SURDO;QUE NÃO POSSUI A AUDIÇÃO
SURFA;DESLIZAR SOBRE AS ONDAS COM PRANCHA
SURGE;APARECE DE REPENTE
SURRA;SEQUÊNCIA DE PANCADAS
SURTA;PERDER O EQUILÍBRIO EMOCIONAL
SURTO;APARECIMENTO REPENTINO DE CASOS
SUSHI;BOLINHO DE ARROZ COM PEIXE CRU
SUSTO;SOBRESSALTO REPENTINO DE MEDO
SUTIL;DELICADO E QUASE IMPERCEPTÍVEL
TABAS;ALDEIAS DE INDÍGENAS
TABUA;PEÇA DE MADEIRA PLANA
TACAS;COPOS FINOS DE BRINDE COM VINHO
TACHO;PANELA LARGA DE METAL
TACOS;PEÇAS DE MADEIRA DO PISO OU ALIMENTO
TALCO;PÓ MINERAL SUAVE PERFUMADO
TALHA;ESCULTURA EM MADEIRA OU VASO
TALHO;CORTE PROFUNDO NA CARNE
TALOS;HASTES VERDES DAS FOLHAS
TAMPA;PEÇA QUE COBRE A PANELA
TAMPO;SUPERFÍCIE SUPERIOR DA MESA
TANGO;DANÇA TÍPICA DA ARGENTINA
TANTO;EM IGUAL OU ELEVADA QUANTIDADE
TAPAR;COBRIR PARA FECHAR A VISÃO
TAPAS;GOLPES COM A PALMA DA MÃO
TARDE;PERÍODO DO MEIO-DIA AO ANOITECER
TARDO;LENTO E DEMORADO
TAROT;BARALHO DE CARTAS MÍSTICAS
TATTO;TATUAGEM NA PELE
TATUZ;MAMÍFERO BRASILEIRO COM CARAPAÇA
TAXAR;COBRAR IMPOSTO SOBRE PRODUTO
TAXAS;TRIBUTOS PAGOS AO GOVERNO
TAXIS;CARROS DE TRANSPORTE DE PASSAGEIROS
TECER;CRIAÇÃO DE TECIDOS NO TEAR
TECLA;BOTÃO DE PRESSIONAR DO TECLADO
TEDIO;SENSAÇÃO DE MONOTONIA E DESÂNIMO
TEIAS;REDES TECIDAS POR ARANHAS
TELAS;PAINÉIS DE PINTURA OU MONITORES
TELHA;PEÇA DE CERÂMICA DO TELHADO
TEMAS;ASSUNTOS EM DEBATE
TEMER;SENTIR MEDO OU RECEIO
TEMIA;TINHA RECEIO DO RESULTADO
TEMOR;SENTIMENTO DE RESPEITO E MEDO
TEMPO;PASSAGEM DAS HORAS OU CLIMA
TENAZ;FIRME E PERSISTENTE
TENDA;BARRACA DE CAMPING DE LONA
TENDO;POSSUINDO NO MOMENTO
TENHO;POSSUO EM MEU NOME
TENIS;ESPORTE DE RAQUETE OU CALÇADO
TENOR;CANTOR LÍRICO DE VOZ AGUDA
TENSA;NERVOSA E ANSIOSA
TENSO;ESTRUTURA ESTICADA OU NERVOSA
TENTO;PONTO MARCADO NO JOGO
TEREM;POSSUÍREM EM CONJUNTO
TERES;POSSUÍRES A CAPACIDADE
TERIA;POSSUIRIA NA HIPÓTESE
TERMO;PALAVRA TÉCNICA OU JOGO POPULAR
TERNA;CHEIA DE CARINHO E AFETO
TERNO;CONJUNTO ELEGANTE DE PALETÓ E CALÇA
TERRA;SOLO FÉRTIL OU NOSSO PLANETA
TESES;TRABALHOS ACADÊMICOS DE DOUTORADO
TESTA;PARTE FRONTAL ACIMA DOS OLHOS
TESTE;AVALIAÇÃO PRÁTICA
TEXTO;CONJUNTO DE FRASES ESCRITAS
TIARA;ARCO USADO NA CABEÇA
TIBIA;OSSO FRONTAL DA CANELA
TIETE;RIO FAMOSO DO ESTADO DE SÃO PAULO
TIGRE;GRANDE FELINO ASIÁTICO LISTRADO
TIMAO;VOLANTE DE NAVEGAÇÃO DO NAVIO
TINHA;POSSUÍA NO PASSADO
TINTA;LÍQUIDO PIGMENTADO PARA PINTAR
TINTO;VINHO VERMELHO ESCURO
TIPOS;CATEGORIAS OU MODELOS DISTINTOS
TIRAR;REMOVER DE ONDE ESTAVA
TIRAS;FAIXAS ESTREITAS DE PAPEL OU COURO
TIROS;DISPAROS DE ARMAS DE FOGO
TITAN;GIGANTE DA MITOLOGIA
TOCAR;ENCOSTAR OU EXECUTAR INSTRUMENTO
TOCHA;BASTÃO COM FOGO NA PONTA
TODAS;A TOTALIDADE DELAS
TODOS;A TOTALIDADE DOS INDIVÍDUOS
TOGAS;VESTES LONGAS DOS JUÍZES
TOLDO;COBERTURA DE LONA PARA SOL
TOLOS;PESSOAS INGÊNUAS E BOBAS
TOMAR;INGERIR OU PEGAR PARA SI
TOMBA;VIRAR OU CAIR AO CHÃO
TOMBO;QUEDA FORTE NO CHÃO
TONEL;GRANDE BARRIL DE ARMAZENAR VINHO
TONTA;COM SENSAÇÃO DE VERTIGEM
TONTO;ZONZO E COM TONTURA
TOPAR;CONCORDAR COM A PROPOSTA OU ESBARRAR
TOPOS;PONTOS MAIS ALTOS DAS MONTANHAS
TOQUE;CONTATO SUAVE COM OS DEDOS
TORAX;CAVIDADE DO PEITO
TORNA;FAZER FICAR DE OUTRA FORMA
TORNE;TRANSFORME EM ALGO NOVO
TORNO;MÁQUINA OPERATRIZ DE PEÇAS
TORPE;DESONESTO E VERGONHOSO
TORRA;PROCESSO DE TOSTAR O CAFÉ
TORRE;ESTRUTURA ALTA ELEVADA
TORTA;PRATO RECHEADO DOCE OU SALGADO
TORTO;QUE NÃO ESTÁ EM LINHA RETA
TOSCA;FEITA SEM REFINO OU RÚSTICA
TOSCO;GROSSEIRO E SEM LAPIDAÇÃO
TOSTA;FATIA DE PÃO TORRADA
TOUCA;COBERTURA DE CABEÇA DE TECIDO
TOURO;MACHO BOVINO REPRODUTOR
TRACO;RISCO FEITO COM CANETA
TRAGA;PUXAR O AR OU TRANSPORTAR
TRAIR;QUEBRAR A LEALDADE PROMETIDA
TRAJE;ROUPA SOCIAL COMPLETA
TRAMA;ENREDO DE UMA HISTÓRIA OU TECIDO
TRAPO;PEDAÇO VELHO DE PANO RASGADO
TRATA;CUIDAR DE UM DOENTE OU ASSUNTO
TRATO;ACORDO COMBINADO ENTRE AMIGOS
TRAVA;MECANISMO QUE BLOQUEIA O MOVIMENTO
TRAVE;VIGA HORIZONTAL DO GOL DE FUTEBOL
TRAVO;GOSTO ADSTRINGENTE E AMARGO
TRECO;OBJETO QUALQUER INDEFINIDO
TRELA;DAR CONVERSA OU CORDA DE CACHORRO
TRENA;FITA MÉTRICA RETRÁTIL
TRENO;VEÍCULO DE DESLIZAR NA NEVE
TRENS;COMBOIOS SOBRE TRILHOS
TREPO;SUBIR EM ÁRVORE OU MURO
TRETA;CONFUSÃO OU DISPUTA POPULAR
TREVA;ESCURIDÃO SEM NENHUMA LUZ
TREVO;PLANTA DE QUATRO FOLHAS DA SORTE
TRIBO;COMUNIDADE INDÍGENA TRADICIONAL
TRICO;ARTESANATO COM DUAS AGULHAS E LÃ
TRIGO;CEREAL USADO PARA FAZER O PÃO
TRINA;CÂNTICO DAS AVES
TRINO;COMPOSTO DE TRÊS PARTES UNIDAS
TRIOS;GRUPOS DE TRÊS PESSOAS
TRIPA;INTESTINO DE ANIMAL
TROCA;SUBSTITUIÇÃO DE UM ITEM POR OUTRO
TROCO;DINHEIRO DEVOLVIDO NO PAGAMENTO
TRONO;ASSENTO REAL DO MONARCA
TROPA;GRUPO DE SOLDADOS EM FORMAÇÃO
TROTE;PASSO ACELERADO DO CAVALO
TROVA;POEMA POPULAR EM QUATRO VERSOS
TRUCO;TRADICIONAL JOGO DE CARTAS BRASILEIRO
TRUFA;DOCE FINO DE CHOCOLATE NOBRE
TRUTA;PEIXE NOBRE DE ÁGUAS FRIAS
TUBAS;INSTRUMENTOS MUSICAIS DE SOPRO GRAVES
TUBOS;CONDUTOS CILÍNDRICOS OCOS
TUDOS;TOTALIDADE ABSOLUTA
TUMBA;SEPULTURA OU JAZIGO
TUMOR;MASSA DE TECIDO ANORMAL
TUNAS;CACTOS OU GRUPOS MUSICAIS
TUNEL;PASSAGEM SUBTERRÂNEA ESCAVADA
TUPIS;TRONCO LINGUÍSTICO INDÍGENA BRASILEIRO
TURBO;SISTEMA QUE AUMENTA A POTÊNCIA DO MOTOR
TURCO;IDIOMA OU CIDADÃO DE ANCARA/ISTAMBUL
TURFA;MATERIAL VEGETAL COMBUSTÍVEL DO SOLO
TURMA;GRUPO DE COLEGAS DE ESCOLA
TURNO;PERÍODO DE TRABALHO DIÁRIO
TURVA;ÁGUA SEM TRANSPARÊNCIA
TURVO;OPACADO E DIFÍCIL DE ENXERGAR
TUTOR;RESPONSÁVEL LEGAL POR MENOR
UFANA;CHEIA DE ORGULHO E GLÓRIA
UFANO;ORGULHOSO DE SUAS CONQUISTAS
UIVAR;SOM LONGO EMITIDO PELOS LOBOS
UIVOS;SONS DOS LOBOS NA NOITE
ULTRA;ALÉM DO LIMITE CONVENCIONAL
UNCAO;RITO SAGRADO DE UNGIR COM ÓLEO
UNGIR;APLICAR ÓLEOS SAGRADOS
UNHAS;LÂMINAS DE QUERATINA DOS DEDOS
UNIAO;JUNÇÃO HARMONIOSA DE PESSOAS
UNICA;SEM NENHUMA OUTRA IGUAL
UNICO;EXCLUSIVO E SINGULAR
UNIDA;JUNTA EM UM SÓ PROPÓSITO
UNIDO;LIGADO POR LAÇOS FORTES
UNTAR;PASSAR MANTEIGA NA FORMA DE BOLO
URDIR;PLANEJAR UMA TRAMA COMPLEXA
UREIA;SUBSTÂNCIA ORGÂNICA DA URINA
URGIR;NECESSITAR DE ATENÇÃO IMEDIATA
URINA;LÍQUIDO EXPELIDO PELOS RINS
URNAS;CAIXAS ELEITORAIS OU FUNERÁRIAS
URRAR;SOLTAR UM GRITO FORTE DE FERA
URROS;SONS PODEROSOS DO URSO
URSAS;FÊMEAS DO URSO
URSOS;GRANDES MAMÍFEROS CARNÍVOROS
USINA;INDÚSTRIA DE GERAÇÃO DE ENERGIA
USUAL;COMUM E HABITUAL NO DIA A DIA
USURA;COBRANÇA ABUSIVA DE JUROS
UTEIS;PROVEITOSOS E QUE SERVEM A UM FIM
UTERO;ÓRGÃO REPRODUTOR FEMININO MATERNO
VACAS;FÊMEAS DO BOI LEITEIRAS
VACUO;ESPAÇO SEM NENHUMA MATÉRIA
VADIO;AQUELE QUE NÃO GOSTA DE TRABALHAR
VAGAO;COMPARTIMENTO DE TREM DE CARGA
VAGAR;ANDAR SEM DESTINO CERTO
VAGAS;OPORTUNIDADES DE EMPREGO ABERTAS
VAGOS;SEM DEFINIÇÃO CLARA
VALAS;FOSSOS ABERTOS NA TERRA
VALER;TER VALOR OU MÉRITO PRÓPRIO
VALES;PLANÍCIES VERDES ENTRE SERRAS
VALIA;MERECIMENTO OU IMPORTÂNCIA
VALOR;PREÇO OU PRINCÍPIO MORAL ELEVADO
VALSA;DANÇA CLÁSSICA DE SALÃO
VAPOR;ESTADO GASOSO DA ÁGUA AQUECIDA
VARAL;CORDA ESTICADA PARA SECAR ROUPAS
VARAS;HASTES DE PESCA OU MADEIRA
VARIA;QUE SOFRE MUDANÇAS CONSTANTES
VARIO;DIVERSO E MÚLTIPLO
VARRA;LIMPAR O CHÃO COM A VASSOURA
VASOS;RECIPIENTES DECORATIVOS DE FLORES
VASTA;DE GRANDE EXTENSÃO TERRITORIAL
VASTO;MUITO AMPLO E ESPAÇOSO
VAZAR;ESCAPAR LÍQUIDO POR UMA FENDA
VAZIA;SEM NADA EM SEU INTERIOR
VAZIO;DESPROVIDO DE QUALQUER CONTEÚDO
VEADO;MAMÍFERO RUMINANTE VELOZ DA MATA
VEDAR;BLOQUEAR TOTALMENTE A PASSAGEM
VEIAS;VASOS QUE LEVAM O SANGUE AO CORAÇÃO
VELAR;CUIDAR DURANTE O SONO OU A NOITE
VELAS;CILINDROS DE PARAFINA COM PAVIO
VELHA;DE IDADE MUITO AVANÇADA
VELHO;ANTIGO OU IDOSO
VELOZ;QUE CORRE A ALTA VELOCIDADE
VENCE;CONQUISTAR A VITÓRIA NO JOGO
VENCI;OBTIVE O PRIMEIRO LUGAR
VENDA;COMERCIALIZAÇÃO DE PRODUTO
VENDO;ENXERGANDO COM OS PRÓPRIOS OLHOS
VENHA;VENHA ATÉ ESTE LOCAL
VENHO;ESTOU CHEGANDO AGORA
VENTO;AR EM RÁPIDO DESLOCAMENTO
VENUS;SEGUNDO PLANETA A PARTIR DO SOL
VERAO;ESTAÇÃO MAIS QUENTE DO ANO
VERAS;OBSERVARÁS COM ATENÇÃO
VERBA;DINHEIRO DESTINADO A UM PROJETO
VERBO;PALAVRA QUE INDICA AÇÃO
VERDE;COR DA NATUREZA E DAS FOLHAS
VERES;TERES A VISÃO
VERGA;BARRA QUE SE CURVA SEM QUEBRAR
VERIA;ENXERGARIA SE PUDESSE
VERME;ANIMAL INVERTEBRADO ALONGADO
VERSA;FALA SOBRE DETERMINADO ASSUNTO
VERSO;LINHA INDIVIDUAL DE UM POEMA
VERTA;DERRAMAR LÍQUIDO DA GARRAFA
VERTE;DEIXA SAIR O LÍQUIDO
VESPA;INSETO VOADOR COM FERRÃO DOLORIDO
VESTE;ROUPA OU PEÇA DE VESTUÁRIO
VETAR;PROIBIR FORMALMENTE UMA LEI
VETOR;ELEMENTO GEOMÉTRICO COM MÓDULO E DIREÇÃO
VEXAR;CAUSAR VERGONHA E HUMILHAÇÃO
VIADO;ANIMAL CERVO
VIAJA;DESLOCA-SE PARA OUTRA CIDADE
VIAJE;FAÇA UMA BOA JORNADA
VIAJO;SAIO EM FÉRIAS PELO MUNDO
VIBRA;OSCILAR COM FREQUÊNCIA
VIBRO;SINTO GRANDE EMOÇÃO
VICIO;HÁBITO PREJUDICIAL À SAÚDE
VIDAS;EXISTÊNCIAS DE SERES VIVOS
VIDEO;GRAVAÇÃO DE IMAGENS EM MOVIMENTO
VIDRO;MATERIAL TRANSPARENTE E QUEBRÁVEL
VIELA;RUA MUITO ESTREITA
VIGAR;TRABALHAR COMO GUARDA
VIGIA;SENTINELA QUE GUARDA A PORTARIA
VILAO;PERSONAGEM ANTAGONISTA MAU
VILAS;PEQUENOS POVOADOS OU CONJUNTOS DE CASAS
VINDA;CHEGADA AO DESTINO
VINDO;CHEGANDO DE VIAGEM
VINHA;PLANTIO DE UVAS OU VINHA CHEGANDO
VINHO;BEBIDA EXTRAÍDA DA FERMENTAÇÃO DA UVA
VINTE;NÚMERO EQUIVALENTE A DUAS DEZENAS
VIOLA;INSTRUMENTO DE CORDAS BRASILEIRO
VIRAL;RELATIVO A VÍRUS OU CONTEÚDO DIFUNDIDO
VIRAR;MUDAR DE DIREÇÃO NO CAMINHO
VIRIL;CHEIO DE FORÇA MASCULINA
VIRUS;AGENTE INFECCIOSO MICROSCÓPICO
VISAO;SENTIDO DE ENXERGAR O MUNDO
VISAR;TER COMO META PRINCIPAL
VISOR;PEÇA DE VIDRO PARA OLHAR ATRAVÉS
VISTA;PAISAGEM PANORÂMICA OU FACULDADE VISUAL
VISTO;AUTORIZAÇÃO NO PASSAPORTE
VITAL;INDISPENSÁVEL À VIDA
VIUVA;MULHER CUJO MARIDO FALECEU
VIUVO;HOMEM CUJA ESPOSA FALECEU
VIVAM;TENHAM UMA VIDA LONGA
VIVAS;CHEIAS DE ANIMAÇÃO E ENERGIA
VIVAZ;EXTREMAMENTE ESPERTO E CHEIO DE VIDA
VIVER;TER EXISTÊNCIA NO MUNDO
VIVES;TENS A VIDA
VIVOS;SERES QUE POSSUEM VIDA
VIZIR;ALTO MINISTRO NO ORIENTE
VOCAL;RELATIVO À VOZ HUMANA
VODCA;DESTILADO TRADICIONAL DO LESTE EUROPEU
VOGAL;LETRAS COMO A, E, I, O, U
VOLEI;ESPORTE DE EQUIPES COM REDE NO MEIO
VOLTA;RETORNO AO PONTO DE PARTIDA
VOLTE;REGRESSE PARA CASA
VOLTO;RETORNO EM BREVE
VORAZ;QUE COME COM MUITA FOME
VOSSO;PERTENCENTE A VÓS
VOTAR;ESCOLHER CANDIDATO NA URNA
VOTOS;ESCOLHAS FEITAS PELOS ELEITORES
VOZES;SONS DA FALA DOS SERES HUMANOS
VULGO;CONHECIDO POPULARMENTE POR
VULTO;SILHUETA INDEFINIDA NA ESCURIDÃO
XALES;MANTAS USADAS NOS OMBROS
XAROP;LÍQUIDO MEDICINAL DOCE PARA TOSSE
XEROX;CÓPIA FOTOSTÁTICA DE DOCUMENTO
XISTO;TIPO DE ROCHA METAMÓRFICA
XUCRO;ANIMAL BRAVIO NÃO DOMADO
ZARPA;PARTIR EM VIAGEM DE NAVIO
ZEBRA;MAMÍFERO AFRICANO DE LISTRAS PRETAS E BRANCAS
ZELAR;CUIDAR COM GRANDE AFETO
ZELOS;CUIDADOS DEDICADOS
ZENIT;PONTO MAIS ALTO DA ESFERA CELESTE
ZERAR;VOLTAR A CONTAGEM AO NÚMERO ZERO
ZEROS;NÚMEROS ZERO
ZINCO;METAL USADO PARA GALVANIZAR
ZIPER;FECHO DE METAL OU PLÁSTICO EM ROUPAS
ZOADA;BARULHO OU ZOMBARIA
ZOMBA;FAZER PIADA DE OUTRA PESSOA
ZONAS;REGIÕES OU ÁREAS DEMARCADAS
ZORRA;CONFUSÃO GENERALIZADA
ZORRO;HERÓI MASCARADO ESPADACHIM
ZUMBI;FIGURA HISTÓRICA OU MORTO-VIVO
ZUNIR;PRODUZIR SOM CONTÍNUO DE VENTO OU INSETO
